id,description
registro_propiedad,Debe indicar el número y la localidad del Registro de la Propiedad que expide la nota.
registrador,Debe figurar el nombre completo del Registrador o Registradora de la Propiedad que expide la nota.
solicitante,Debe constar el nombre del solicitante y su DNI o CIF.
interes_legitimo,Debe describirse el interés legítimo alegado por el solicitante para obtener la nota simple.
identificador_solicitud,Debe aparecer el identificador único de solicitud o referencia de tramitación.
descripcion_finca,"Debe incluir la descripción de la finca registral con número, ubicación, superficie y linderos."
referencia_catastral,Debe figurar la referencia catastral completa de la finca.
titularidades,"Debe constar el nombre de los titulares, su porcentaje de participación y el carácter de la titularidad (privativo o ganancial)."
forma_adquisicion,"Debe indicarse el título de adquisición (escritura pública, herencia, compraventa, etc.), con notario, fecha y número de protocolo."
cargas,"Debe detallar las cargas vigentes sobre la finca, como hipotecas, afecciones o servidumbres."
fecha_emision,"Debe constar la fecha de emisión o expedición de la nota simple, o la del sello electrónico."
csv_verificacion,Debe incluir el Código Seguro de Verificación (CSV) y la URL de comprobación oficial.
advertencias_legales,Debe contener la advertencia de que la nota simple tiene carácter meramente informativo y no certifica la titularidad frente a terceros.
proteccion_datos,Debe incluir la información básica sobre protección de datos personales.
condiciones_uso,"Debe indicar las condiciones de uso de la información, su carácter confidencial e intransferible."
